Accession Number,Last Name ,First Name,Artist Gender,Title,Year,Location Name,Latitude,Longitude,Address,Location Description,Interior-Exterior ,Category,Object Type,Material,Material Details,Size,Additional Description,About The Work
CAC09.01,Lyman ,Mela,Female ,"""Anxiety of Beauty: Revisiting the Fountian of Youth Mural""",2009,Paine Park ,42.371067,-71.101571,"Robert Paine Square Playground, Cambridge, MA 02139",Paine park is located at the corner of Amory St and St Mary Rd right outside of Iman Square. The Mural is located on a rear privacy wall that seperates the playground from the surrounding houses.,Exterior ,Mural ,Painting,Acrylic paint on MDO board,,"8' x 12' x 3/4""",,"Involving the public again in re-creating her mural, in 2008 Lyman transformed the CAC Gallery into her studio. The Arts Council designed programs such as children's story hours, food tastings, artist talks, and other events to encourage an on-going dialogue between the artist and the community. The artist also worked with high school and college students to use Photoshop to experiment with the mural's composition and record its stages of development between February 2008 and January 2009."
CAC81.03,Maduna,Vusumuzi,Male ,"""Inner City Totem I""",1981,Cambridge Community Center,42.365514,-71.111222,"5_Callender St, Cambridge, MA_",By the front entrance ,Exterior ,Sculpture ,Mixed media,"Steel, wood ","Steel, landscape timber","15' x 4' x 18""",Tall sculpture in front yard,"Maduna's two totems in Cambridge were his first attempts at translating African-inspired masks into large scale sculptures. The angular, imposing masks combine elements of African art with Maduna's own expressive style.Born in Cambridge, Maduna (aka Dennis Didley) spent some time as a teenager at both the Margaret Fuller House and the Cambridge Community Center. He began his exploration of African culture with a study of African religions, and that brought him, quite naturally, to a study of traditional art forms, the embodiment of belief and myth. Art, for Maduna, is spiritually nourishing. ""People gather strength through their roots,"" he says, ""and it is through art that we hear our ancestral voices."" As an adult, Maduna returned to the neighborhoods of his childhood with reminders of the African heritage that many in the community share. ""Totem"" literally means the emblem of a clan or family.Maduna studied at the School of the Museum of Fine Arts in Boston and has been an artist-in-residence in the African-American Masters program at Northeastern University. His work has been exhibited in several museums."
CAC82.05,Maduna,Vusumuzi,Male ,"""Inner City Totem II""",1983,Margaret Fuller Neighborhood House,42.36459,-71.097409,"71 Cherry St, Cambridge, MA 02139","71 Cherry Street, by the front entrance ",Exterior ,Sculpture ,Mixed media ,"Steel, wood ","Steel, landscape timber","10' x 32"" x 10""",Tall sculpture in front yard,"Maduna's two totems in Cambridge were his first attempts at translating African-inspired masks into large scale sculptures. The angular, imposing masks combine elements of African art with Maduna's own expressive style.Born in Cambridge, Maduna (aka Dennis Didley) spent some time as a teenager at both the Margaret Fuller House and the Cambridge Community Center. He began his exploration of African culture with a study of African religions, and that brought him, quite naturally, to a study of traditional art forms, the embodiment of belief and myth. Art, for Maduna, is spiritually nourishing. ""People gather strength through their roots,"" he says, ""and it is through art that we hear our ancestral voices."" As an adult, Maduna returned to the neighborhoods of his childhood with reminders of the African heritage that many in the community share. ""Totem"" literally means the emblem of a clan or family.Maduna studied at the School of the Museum of Fine Arts in Boston and has been an artist-in-residence in the African-American Masters program at Northeastern University. His work has been exhibited in several museums."
CAC71.01,Maduna,Vusumuzi,Male ,"""Dr. Martin Luther King, Jr. Memorial""",1971,Dr. Martin Luther King Jr. Elementary School,42.366738,-71.112905,"100 Putnam Ave, Cambridge, MA 02139",,Interior ,Sculpture ,Mixed media ,"Plastic, painted metal, metal mesh ","Plastic, perforated sheet metal, metal mesh",19' x 40' x 3',High relief in hallway,"Vusumuzi Maduna's affecting mural portrays four key events in the life of Civil Rights leader Dr. Martin Luther King, Jr.: a sermon, demonstration, arrest, and, finally, the reverend's mule drawn funeral cortege. A red cross stretches across the composition, symbolizing King's work as a Baptist minister and the blood shed during the Civil Rights Movement. Another metal element suggests the body of a bus, reminding viewers of Rosa Parks' refusal to sit at the back of a public bus in Alabama. Its yellow-orange colors also refer to schoolbuses, which have literally been the vehicles of desegregation for American public schools. Finally, Maduna's main choice of material for the biographical events - black perforated sheet metal - lends the figures a shadowy quality that softens the violence of the scenes yet doesn't diminish the work's powerful message of faith, love, and resistance.Sculptor/painter Maduna is a lifelong resident of the Boston area. His site-specific work, which combines an interest in African art with his own expressive style, has been exhibited in galleries and museums around the world. Many of his public installations are located in the Cambridge and Boston area, including The Judge, a recent commission for the Roxbury District Court House. Educated at the School of the Museum of Fine Arts, Boston, he has been Master Artist in Residence at Northeastern University."
CAC10.01.1,Mandel,Mike,Male ,"""Sidewalk Histories""",2010,Brookline Street ,42.359996,-71.105058,"152 Brookline St, Cambridge, MA 02139","In the sidewalk at 152 Brookline Street (on southwest side, south of Emily Street).",Exterior ,Sculpture ,Mosaic-Ceramic Tiles inSidewalk,Ceramic tiles in sidewalk,,"37""H x 59.5""W (3'H x 4.875'W) (4 more to be installed in future)",,"Mike Mandel was commissioned to create a public artwork for the Brookline Street Improvement Project. Construction from Henry Street to Pacific Street will include improved bicycle and pedestrian paths, traffic calming, improved sight lines, and lighting.  Mike will be creating tile mosaics that refer to the history of this densely populated and active street through images related to locations, businesses, people, and events. Developed from historical photographs, eleven mosaics will be installed in the sidewalk along the length of the street between Henry and Pacific Streets.  In addition, an informational sign will give sources and additional information about each of the mosaics."
CAC05.01a,McKie,Judy ,Female ,"""Alley Cats""",2005,Library/ Valente Garden,42.372167,-71.090433,"826 Cambridge St, Cambridge, MA 02141",In the park outside the Valente Library. ACCORDING TO GOOGLE MAPS THIS POOL HAS BEEN PERMANENTLY CLOSED.,Exterior ,Sculpture ,Bronze ,Silicon bronze ,Silicon bronze ,"1 of 3 sculptures: 32"" x 60"" x 17""",3 cat benches,"Completed in 2004, in conjunction with the Cambridge Street Improvements, Cambridge artist Judy Kensley McKie collaborated with landscape architects Carol R. Johnson Associates, Inc. to transform a fenced-in lawn next to the Valente Branch Library into a community-gathering place. The artist's idea of making the garden as natural as possible, with soft organic forms and an ""urban wild"" planting scheme, offers a respite from the heavy traffic along Cambridge Street. In line with her well-known functional animal sculptures, McKie created bronze benches for the space. Three friendly ""Alley Cats"" greet visitors to the garden with an offer to sit down for a while and read a book or chat with a neighbor. The landscape design also offers a space for small community gatherings and library events."
CAC06.05,McKie,Todd,Male ,"""C'mon In The Water's Fine!""",2006,Gold Star Mothers Pool ,42.372033,-71.089987,"123 Berkshire St, Cambridge, MA 02141","Gold Star Mothers Pool in east Cambridge, on the east and west walls of the pool house. ACCORDING TO GOOGLE MAPS THIS POOL HAS BEEN PERMANENTLY CLOSED.",Exterior,Mural,Painting,Acrylic on concrete ,,"OH 83"" x 75' x 1/2""",,"Todd McKie was commissioned by the Cambridge Arts Councilês Public Art Program to create permanent public art for the newly renovated Gold Star Mothers Pool in East Cambridge. Completed in July 2006, McKieês mural Cêmon In, The Waterês Fine! is a large-scale drawing of ""elegant and goofy"" fish painted along the east and west walls of the pool house."
CAC09.03,Oatman,Michael,Male ,"""The Cantabrigians""",2009,West Cambridge Youth & Community Center,42.380475,-71.153846,"680 Huron Ave, Cambridge, MA 02138",West Cambridge Youth and Community Center.,Interior ,Electronic Media ,Digital-Moving Image,3 LCD monitors and a Mac Mini,,"3 monitors: one 65"", two 52""",,"Michael Oatman's 23 ten-minute ""video portraits"" of residents, posed with objects and backgrounds of their choice highlight their connections to the neighborhoods as well as their individual interests and personal and professional pursuits. The video portraits can be viewed in rotation on three large-scale monitors that will be permanently installed on the second floor of the Youth Center."
CAC96.01a,O'Neil,Nancy,Female,"""Untitled""",1996,Maria L. Baldwin Elementary School,42.382328,-71.116683,"28 Sacramento St, Cambridge, MA 02138",Level sub-1 to the left. Celestial map and rose of Sharon.,Interior ?,Sculpture ,Stained glass ,Stained glass ,"Stained glass, hand-painted",,Maria L. Baldwin Elementary School,
CAC87.06a,Phillips,David,Male ,"""Levitated Stone""",2004,Dana Park,42.361445,-71.108383,"74 Magazine St Cambridge, MA 02139",corner of Magazine Street and Lawrence Street,Exterior ,Sculpture ,Bronze ,"Bronze, granite","Bronze (silicon), granite, tree limbs","83""H x 36""W x 50""D (Overall?: 3-31/2' 8' 2500lbs)","Tall sculpture: bronze ""tree branches"" holding up a granite boulder, with a bronze ""tree branch"" fountain spout at the top.","David Phillip's sculpture consists of a large granite stone ""levitated"" by bronze tree limbs. The stone is presented as though it were an offering. Natural elements, such as stone and trees, are often a motif in Phillps' work. ""In the woods, looking for sticks and stones for my sculpture,"" he says, ""I am often impressed by the persistence of life. A root can slowly establish a foothold and split a large rock. Lichen and moss extract their nourishment directly from the stone, ultimately processing granite into soil."" Of casting bronze tree limbs, Phillips adds, ""Metal branches are remarkable in that, although they are perceived as real, they can do things structurally that real twigs can't. For example, they can support a stone, giving the illusion of levitation.""David Phillips received his BFA in Painting and his MFA in Sculpture from the Cranbrook Academy of Art in Michigan. He has taught at a number of places including Flint Institute of Art, Harvard, and Mass College of Art. His studio and foundry in Somerville are not only busy with his own work, but also much of the bronze casting in the area is done under his careful supervision."
CAC80.08,Phillips,David,Male ,"""Stone Work""",1980,Riverside Press Park,42.361821,-71.115474,"820 Memorial Dr, Cambridge, MA 02139",River Street and Memorial Drive,Exterior ,Sculpture ,Bronze ,"Bronze, granite ","Bronze, granite","Overall: 25"" x 9' (diameter)",Large granite/bronze boulders in sections,"This two-part stone and bronze piece is situated on a paved area at the top of a hill in Riverside Press Park. One boulder has been sliced into four parts. The parts have been reproduced in bronze, and then the resulting eight units have been rearranged into two new ""boulders,"" one with three stone sections and one bronze section, and the other with the remaining bronze sections."
CAC86.03a,Phillips,David,Male ,"""Beach Fragments""",1986,Lechmere Canal Park,42.369473,-71.075958,"Lechmere Canal Park, Cambridge, MA 02141","Between Cambridge Street, First Street and the Galleria Mall; Inlaid in the pavement under the park Pavillion ",Exterior ,Sculpture ,Bronze,"Silicon bronze, brick ","Cast silicon bronze, brick","Hexagonal: 24"" x 24""",7 bronze reliefs set in pavement,"The imagery captured in Phillips's medallions includes natural elements -- sand, stones, shells and fossils -- present in the tidal basin which occupied this site prior to settlement. These references to the natural world are combined with symbols of the microcosm and macrocosm of the universe -- images from astronomy, subatomic particles, music and ancient cultures.""Use of water, the historical connection with the ocean, and proximity to the Science Museum interested me,"" says Phillips. ""One bronze medallion incorporates music notation from Debussey's La Mer. Like the changing patterns in the sand, music, too, is transient.""David Phillips is well known for his public sculpture and his collaborations with landscape architects. His work often explores the resilience of nature, incorporating organic elements, such as stones and trees, with cast materials.Descriptions of the individual pavers are found on the ceiling panels of the Pavillion."""
CAC97.02a,Phillips,David,Male ,"""Spiral""",1997,Quincy Square,42.372324,-71.115602,"1231 Massachusetts Ave, Cambridge, MA 02138","Intersection of Quincy Street, Harvard Street and Massachusetts Avenue",Exterior ,Sculpture ,"Bronze, Stone","Bronze, granite ","Wrought iron, cast bronze, granite, plantings",,"Located in the center of seating area of park; bronze spiral wall protruding from boulder, spiral continues as inlay in brick ground.","In a truly collaborative design, sculptor David Phillips and landscape architect Craig Halvorson transformed an intersection previously used for bus parking into a city park. The park includes fieldstones with bronze inlays, artist designed wrought-iron fence, pavings, and beds of flowers.The collaborators organized the configuration of amenities and landscape elements around a spiral form. A form borrowed directly from nature, the graceful curve of the spiral has been admired throughout the ages for its simple elegance and has served as basis for ornament in many cultures. Reflecting the intimate connection between form and function, art and life, the spiral is a common motif in David Phillips' art.David Phillips is well known for his public sculpture and his collaborations with landscape architects. His work often explores the resilience of nature, incorporating organic elements, such as stones and trees, with cast materials."
CAC08.01,Pinto,Jody,Female,"""New Palmer""",2008,Palmer St. Harvard Square,42.373817,-71.120036,"50, Palmer Street, Cambridge, MA 02138",Along Palmer St,Exterior ,Sculpture ,Mixed media,"Fiberglass, concrete, steel ","Fiberglass, concrete, steel","block dimensions variable 12"" - 36""","29 ""Palmer blocks"": lit fiberglass boxes and concrete blocks; metal trim; in-ground lights",
CAC07.05a,Powell,John,Male ,"""Dana Park Quotes""",2007,Dana Park,42.361445,-71.108383,"74 Magazine St Cambridge, MA 02139",The Quotes are located around the park fixed to light poles.,Exterior ,Sculpture ,Metal ,Aluminum ,Aluminum,"1 of 8 discs approx. 2' diameter, with a separate title plaque approx. 6"" diameter.",Rotating aluminum disk attached to light pole,"In 2007 John Powell created Dana Park Quotes, a work of public art that draws on the prose and poetry of various writers who had association with the neighborhood over the last two centuries. Powell has mounted eight aluminum discs on the light poles marking the perimeter of the central lawn and the pathway encircling it. Each disc measures eighteen inches in diameter and is laser-cut with letters forming quotations from selected writers and poets who lived in or visited Cambridgeport during its 300-year history. Mounted high on the lamp posts, the discs rotate slightly with wind movement and catch sky, sunlight, foliage, and lamplight as the conditions of the day or night change. The play of light activates the form and the text."
CAC01.04a,Reimann,William,Male ,"""Untitled""",2000,Reverend Thomas J. Williams Park,42.39575,-71.13076,"Reverend Thomas J. Williams Park, Cambridge, MA 02140",Intersection of Cedar and Dudley Streets,Exterior ,Sculpture ,Stone ,Granite ,Granite (sandblasted),1 of 6 granite columns with relief of butterfly/moth,Granite column park entrance marker,"Outsized butterflies and moths on six granite posts (two flanking each of the three entrances) greet visitors arriving at the park. Reimann created the images through sandblasting, in which air or steam carries sand at high velocity to etch the stone. Bold wing patterns worked best with this powerful process, so Reimann chose flamboyant species from around the globe, working from photographs in the collection of Harvard University's Museum of Comparitive Zoology.A sculptor, draftsman, and designer, Reimann began his career at Yale University, where he received his M.F.A. in 1961. He experimented with Plexiglas and steel earlier in his career, but his current medium of choice is sandblasted stone. Animals and the natural world are frequent subjects, as are designs and symbols from the world's ancient cultures. His works are in the permanent collections of the Whitney Museum and the Museum of Modern Art in New York City, the Museum of Fine Arts in Boston, and the National Gallery in Washington, DC, as well as in numerous private, corporate, and public settings. A longtime Cambridge resident, Reimann teaches in the Visual and Environmental Studies Department at Harvard University."
CAC06.04,"Reynolds, Helmuth","Jock, Suzanne",1 Female/1 Male,"""Vellucci Plaza Design""",2006,"Vellucci Plaza, Inman Square",42.373974,-71.101403,"1407 Cambridge St, Cambridge, MA 02139","Located where Beacon, Hampshire and Cambridge Street meet",Exterior ,Sculpture ,Concrete ,"Granite, wood, ipe, lights, plantings, concrete",,,"Paving, seats on seat walls, planting beds, fence, festoon lights","As part of the Cambridge Street Improvements, artists Jock Reynolds and Suzanne Hellmuth have served as lead-designers of Vellucci Plaza in Inman Square. The artists have placed a great emphasis on making the area inviting and safe. The dense canopy of Locust trees will be thinned to let sunlight in and special lights will be suspended from cables over the space to provide evenly diffused lighting without lurking shadows. Three 18"" high granite planters will be placed in asymmetrical formation, with wood platforms on top for seating. A variety of plants, including a series of white Birches, will reflect the strong tradition of gardening in the neighborhood, while also providing barriers from the loud traffic on both sides of the plaza. A gridded wall along the back will provide a barrier for the direct abutters. The scale of the open spaces between the planters has been determined to encourage groups to assemble for meetings and performances."
CAC99.08a,Reimann,William,Male ,"""Untitled""",1998,Corporal Burns Playground,42.367735,-71.115655,"133 Banks St Cambridge, MA 02138",Intersection of Memorial Drive and Flagg Street,Exterior ,Sculpture ,Stone ,Granite ,Granite (sandblasted),"1 of 20 reliefs: 36""x36""",Square granite paver in brick ground,"To create these intricate designs, based on plants and animals of the nearby riverbank, William Reimann used a modern tombstone cutting technique in which a cut rubber stencil is affixed to the granite before sandblasting removes the exposed stone. Reimann drew and cut each of his detailed designs on the stencils by hand. The images are located on the opposed sides of eight bollards at park entrances and on four granite panels that are placed in the ground of the walkway along Flagg Street. Cut approximately 1/4"" into the surface of the granite columns, the designs are perfect for handrubbing reproductions.A sculptor, draftsman, and designer, Reimann began his career at Yale University, where he received his M.F.A. in 1961. He experimented with plexiglas and steel earlier in his career, but his current medium of choice is sandblasted stone. Animals and the natural world are frequent subjects, as are designs and symbols from the world's ancient cultures. His works are in the permanent collections of the Whitney Museum and the Museum of Modern Art in New York City, the Museum of Fine Arts in Boston, and the National Gallery in Washington, DC, as well as in numerous private, corporate, and public settings. A longtime Cambridge resident, Reimann teaches in the Visual and Environmental Studies Department at Harvard University."
CAC82.03a,Rosenberg,Lilli Ann,Female ,"""Celebrating the Marshland""",1982,Cambridge Public Library - Central Square Branch,42.363893,-71.103682,"45 Pearl St, Cambridge, MA 02139",Outside the entrance on Pearl Street,Exterior ,Sculpture ,"Mosaic-Mixed Media, Ceramic Tiles ","Shells, glass, mortar","Mortar, shell, glass, convex mirror","69""H x 83.5""W x 2.5""D",,"To create her acclaimed mosaic murals, Lilli Ann Rosenberg mixes tiles, clay pieces, found objects, and impressions of block letters. In Celebrating the Marshland, her materials include real shells and stones, which, combined with lively images of fish, birds, and turtles, allude to the salt marshes that once covered much of Cambridgeport.Rosenberg is an accomplished artist whose numerous other Boston-area works include a large mosaic in the MBTA Park Street subway station and another mural for the lobby of the Children's Hospital. Trained in architecture, sculpture, and ceramics, she studied at the Cooper Union and Art Students League (both in New York City), as well as at the Cranbrook Academy of Art in Bloomfield Hills, Michigan. She has lived in New England for most of her working life."
CAC06.06d,Schelling,Robert,Male ,"""Gore Field""",2006,Gold Star Mothers Park,42.372371,-71.083362,"1-67 Bacon Ct Cambridge, MA 02141","Gore St. at 6th St., at three gateway entrances on Gore Street in East Cambridge.  (basketball field)",Exterior ,Sculpture ,Bronze ,Bronze ,Bronze ,"1 of 7 Medallions, 15.25""Dia x 7/8""D",Located on brick pillar,"Artist Robert Schelling cast seven bronze relief sculptures for the three gateways to Gold Star Mothers Park on Gore Street in East Cambridge. In the artist's words, his sculptures ""celebrate forms that accompany us in the moment, that we all share in nature, culture, sports, and our daily lives."" At once playful and mystical, Schelling's abstracted motifs mark the experience of leaving the urban complexity of the neighborhood and entering a park that invites play, rest, and recreation."
CAC99.08i,Reimann,William,Male ,"""Untitled""",1998,Corporal Burns Playground,42.367735,-71.115655,"133 Banks St Cambridge, MA 02138",Intersection of Memorial Drive and Flagg Street,Exterior ,Sculpture ,Stone ,Granite ,Granite (sandblasted),"1 of 20 reliefs: 9""x9""",Granite column pathway marker,"To create these intricate designs, based on plants and animals of the nearby riverbank, William Reimann used a modern tombstone cutting technique in which a cut rubber stencil is affixed to the granite before sandblasting removes the exposed stone. Reimann drew and cut each of his detailed designs on the stencils by hand. The images are located on the opposed sides of eight bollards at park entrances and on four granite panels that are placed in the ground of the walkway along Flagg Street. Cut approximately 1/4"" into the surface of the granite columns, the designs are perfect for handrubbing reproductions.A sculptor, draftsman, and designer, Reimann began his career at Yale University, where he received his M.F.A. in 1961. He experimented with plexiglas and steel earlier in his career, but his current medium of choice is sandblasted stone. Animals and the natural world are frequent subjects, as are designs and symbols from the world's ancient cultures. His works are in the permanent collections of the Whitney Museum and the Museum of Modern Art in New York City, the Museum of Fine Arts in Boston, and the National Gallery in Washington, DC, as well as in numerous private, corporate, and public settings. A longtime Cambridge resident, Reimann teaches in the Visual and Environmental Studies Department at Harvard University."
CAC99.08m,Reimann,William,Male ,"""Untitled""",1998,Corporal Burns Playground,42.367735,-71.115655,"133 Banks St Cambridge, MA 02138",Intersection of Memorial Drive and Flagg Street,Exterior ,Sculpture ,Stone ,Granite ,Granite (sandblasted),"1 of 20 reliefs: 9""x9""",Granite column pathway marker,"To create these intricate designs, based on plants and animals of the nearby riverbank, William Reimann used a modern tombstone cutting technique in which a cut rubber stencil is affixed to the granite before sandblasting removes the exposed stone. Reimann drew and cut each of his detailed designs on the stencils by hand. The images are located on the opposed sides of eight bollards at park entrances and on four granite panels that are placed in the ground of the walkway along Flagg Street. Cut approximately 1/4"" into the surface of the granite columns, the designs are perfect for handrubbing reproductions.A sculptor, draftsman, and designer, Reimann began his career at Yale University, where he received his M.F.A. in 1961. He experimented with plexiglas and steel earlier in his career, but his current medium of choice is sandblasted stone. Animals and the natural world are frequent subjects, as are designs and symbols from the world's ancient cultures. His works are in the permanent collections of the Whitney Museum and the Museum of Modern Art in New York City, the Museum of Fine Arts in Boston, and the National Gallery in Washington, DC, as well as in numerous private, corporate, and public settings. A longtime Cambridge resident, Reimann teaches in the Visual and Environmental Studies Department at Harvard University."
CAC07.01,Selvage,Nancy,Female ,"""Water Wall""",2007,Trolley Square,42.39747,-71.130031,"8 Cameron Ave, Cambridge, MA 02140",Massachusetts and Cameron Avenues,Exterior ,Sculpture ,Metal ,Steel,Stainless steel (316),"6' x 33"" x 28' ",Perforated steel sculpture,
CAC95.06a,Rosenberg,Lilli Ann,Female ,"""Untitled""",1995,Haggerty Elementary School,42.37801,-71.152445,"110 Cushing St Cambridge, MA 02138",Front lobby,Interior ,Sculpture ,"Mosaic-Mixed Media, Ceramic Tiles ","Ceramic tiles, Mixed Media","Ceramic, mosaic, concrete","36""H x 29""W x 2.25""D",1 of 4 mosaics,"Rosenberg's ""collages in concrete"" style murals are located so as to be enjoyed by all the students. One is by the front entrance and the other is in the entryway to the lower level of the building, where it can be seen by the students on their way to lunch or the gymnasium as well as by the general public using the community room. Embedded in the cement are individual clay pieces and found objects such as mosaics, stones, shells, leafs, keys, and other fascinating, simple and ordinary objects from all over the world. As many of the students as possible were engaged in the creation of the art. At a workshop the students drew on and cut rolled-out clay to make silhouettes of themselves and other images for the murals. After the workshop, the artist took the clay back to her studio and applied to it clear glaze and fired it to protect it for posterity.Rosenberg has created numerous other Boston-area works, including a large mosaic in the MBTA Park Street subway station and another mural for the lobby of the Children's Hospital. Two of her murals can be found at the Central Square Library in Cambridge and the Miller's River Apartments in East Cambridge. Trained in architecture, sculpture, and ceramics, she studied at the Cooper Union and Art Students League (both in New York City), as well as at the Cranbrook Academy of Art in Bloomfield Hills, Michigan. She has lived in New England for most of her working life."
CAC85.30,Rosenberg,Lilli Ann,Female ,"""Tribute to Martin Luther King, Jr.""",1985,Cambridge Public Library - Central Square Branch,42.363893,-71.103682,"45 Pearl St, Cambridge, MA 02139",Outside the entrance on Pearl Street,Exterior ,Sculpture ,"Mosaic-Mixed Media, Ceramic Tiles ","Ceramic tiles, Mixed Media","Ceramic, mosaic, concrete","15"" x 52""",Ceramic mosaic,"Rosenberg's second piece honors Doctor Martin Luther King, Jr., who preached at nearby First Baptist Church when he was a student at Boston University. The mural depicts a towering mountain, flowing stream, and blazing sun - a visual translation of one of King's most powerful quotes: ""I just want to do God's will and he has allowed me to go up to the mountain. I see the promised land."""
CAC82.03b,Rosenberg,Lilli Ann,Female ,"""Celebrating the Marshland  (seagull)""",1982,Cambridge Public Library - Central Square Branch,42.363893,-71.103682,"45 Pearl St, Cambridge, MA 02139",Outside the entrance on Pearl Street.,Exterior ,Sculpture ,"Mosaic-Mixed Media, Ceramic Tiles ","Shells, glass, mortar","Mortar, shell, glass, convex mirror","18.5""H x 22""W x 2.5""D","Seagull is on separate wall, closer to street","To create her acclaimed mosaic murals, Lilli Ann Rosenberg mixes tiles, clay pieces, found objects, and impressions of block letters. In Celebrating the Marshland, her materials include real shells and stones, which, combined with lively images of fish, birds, and turtles, allude to the salt marshes that once covered much of Cambridgeport.Rosenberg is an accomplished artist whose numerous other Boston-area works include a large mosaic in the MBTA Park Street subway station and another mural for the lobby of the Children's Hospital. Trained in architecture, sculpture, and ceramics, she studied at the Cooper Union and Art Students League (both in New York City), as well as at the Cranbrook Academy of Art in Bloomfield Hills, Michigan. She has lived in New England for most of her working life."
CAC95.05,Rosenberg,Lilli Ann,Female ,"""Untitled""",1995,Haggerty Elementary School,42.37801,-71.152445,"110 Cushing St Cambridge, MA 02138",,Interior,Sculpture,"Mosaic-Mixed Media, Ceramic Tiles","Ceramic tiles, Mixed Media","Ceramic, mosaic, concrete","63.25""H x 63""W x 3.5""D",Ceramic mural,"Rosenberg's ""collages in concrete"" style murals are located so as to be enjoyed by all the students. One is by the front entrance and the other is in the entryway to the lower level of the building, where it can be seen by the students on their way to lunch or the gymnasium as well as by the general public using the community room. Embedded in the cement are individual clay pieces and found objects such as mosaics, stones, shells, leafs, keys, and other fascinating, simple and ordinary objects from all over the world. As many of the students as possible were engaged in the creation of the art. At a workshop the students drew on and cut rolled-out clay to make silhouettes of themselves and other images for the murals. After the workshop, the artist took the clay back to her studio and applied to it clear glaze and fired it to protect it for posterity."
CAC89.04a,Rosenberg,Lilli Ann,Female ,"""Turtles""",1989,Alden Play Area,42.382743,-71.1163,"Alden Play Area, Cambridge, MA 02138",,Exterior ,Sculpture ,"Mosaic-Mixed Media, Concrete ","Mixed Media, Concrete, Granite ","Concrete, granite",,3 sculptures on ground,
CAC88.03,Ryerson,Mitch,Male,"""Front Desk""",1988,Cambridge Library Boudreau branch,42.383339,-71.13262,"245 Concord Ave, Cambridge, MA 02138","Located at 245 Concord Ave, serving as the library's card catalog and main circulation desk",Interior ,Sculpture ,Wood-Painted,"Birch, cherry and maple wood ","Birch, cherry, maple wood",10'x10',Relief,"The sculptural desk made of birch, cherry, and maple wood and painted in vibrant colors, serves as the library's card catalog and main circulation desk. The front of the desk is decorated with a carved panel that depicts neighborhood buildings, including St. Peter's Church and the Harvard Observatory. A prime example of art-furniture, the desk helps shape the character of the library, while serving both decorative and functional purposes.Ryerson says that furniture appeals to him because the viewer can interact with it. His work invites a connection that is often hard to obtain with other fine arts, such as sculpture. He feels the intimacy and casualness of his work make it less intimidating to people. ""I want people to be able to approach my work,"" he says. ""My artwork isn't about heavy existential crises - it's about feeling good, about experiencing pleasure.""Ryerson has operated Ryerson Studios located in Cambridge for many years, making custom furniture sold through galleries and on a commission basis. Originally a boat builder in Maine, he shifted into furniture because, as he says, it gave him a ""freedom of expression."" In 1998 he received the Boston Society of Arts and Crafts artist award. The society is the oldest nonprofit craft organization in America and awarded Ryerson the prize for ""showing mastery in his medium by creating original and creative contemporary crafts."""
CAC06.06a,Schelling,Robert,Male ,"""Gore Field""",2006,Gold Star Mothers Park,42.372371,-71.083362,"1-67 Bacon Ct Cambridge, MA 02141","Gore St. at 6th St., at three gateway entrances on Gore Street in East Cambridge ",Exterior ,Sculpture ,Bronze ,Bronze ,Bronze ,"1 of 7 Medallions, 16""H x 17""W x 1.5""D",Located on brick pillar,"Artist Robert Schelling cast seven bronze relief sculptures for the three gateways to Gold Star Mothers Park on Gore Street in East Cambridge. In the artist's words, his sculptures ""celebrate forms that accompany us in the moment, that we all share in nature, culture, sports, and our daily lives."" At once playful and mystical, Schelling's abstracted motifs mark the experience of leaving the urban complexity of the neighborhood and entering a park that invites play, rest, and recreation."
CAC81.12a,Shores,Robin,Female,"""Untitled""",1981,Longfellow Building (temp location for MLK School and King Open School during renovations),42.370908,-71.104007,"359 Broadway Cambridge, MA 02139",,Exterior ,Sculpture ,Concrete ,Concrete ,Concrete,"1 of 4 bollards, each: 33"" x 18"" (diameter)",Wide cylindrical bollards,"Originally, these four bollards (thick posts) served an unadorned, practical purpose: to protect students from busy Broadway traffic. Robin Shores transformed the cement cylinders into sculptural surprises, with small openings near each base revealing three-dimensional hands, balls, sneakers, and other ""clues"" or ""traces"" left behind by the children of the Longfellow School.  As a Peace Corps volunteer Robin Shores worked in India and Africa, and currently teaches English in Bangladesh. An MFA graduate of the University of Buffalo, he has taught at the School of the Museum of Fine Arts, Boston as well as Boston University. His figurative stone sculptures are in many public and private collections."
CAC11.01,Simonds,Nancy,Female,"""Beacon of Color""",2011,East Cambridge Parking Facility,42.368904,-71.078757,"9 Spring St, Cambridge, MA 02141",Covering old windows,Exterior ,Mural,Painting,Acrylic on Sintra,,,,
